Name,beta,gamma,n_shots,test_accuracy
crimson-sweep-558,5,5000,30,0.212000006
revived-sweep-726,75,0.001,30,0.210666668
fresh-sweep-294,100,25,30,0.209333342
solar-sweep-110,1,1000,30,0.208000004
rosy-sweep-310,100,75,30,0.20533334
clean-sweep-262,100,100,30,0.205333337
crimson-sweep-142,1,50,30,0.204000005
fallen-sweep-286,100,5,30,0.204000002
major-sweep-150,1,75,30,0.204000002
absurd-sweep-126,1,5,30,0.202666673
earnest-sweep-302,100,50,30,0.20266667
crimson-sweep-118,1,10000,30,0.200000003
glowing-sweep-102,1,100,30,0.200000003
youthful-sweep-206,10,5,30,0.198666674
sparkling-sweep-654,50,10,30,0.198666668
expert-sweep-158,1,5000,30,0.198666668
fresh-sweep-774,75,25,30,0.197333339
glowing-sweep-742,75,100,30,0.197333339
earnest-sweep-790,75,75,30,0.196000007
olive-sweep-782,75,50,30,0.196000005
comic-sweep-646,50,0.001,30,0.196000002
